elem_index,treatment,period_calendar,treatment_qty,treatment_comment,treatment_reason
3,cs_resurf,2015,2430,"2CHIP, function: 2, on date: 2015-11-20",committed-1_741_3530_All
31,cs_resurf,2015,3240,"2CHIP, function: 2, on date: 2015-11-20",committed-1_742_3100_All
32,cs_resurf,2015,360,"2CHIP, function: 2, on date: 2015-11-20",committed-1_742_3460_All
33,cs_resurf,2015,1530,"2CHIP, function: 2, on date: 2015-11-20",committed-1_742_3500_All
84,cs_rehab,2015,1453.5,"2CHIP, function: 1, on date: 2015-10-06",committed-1_745_11837_All
91,cs_resurf,2015,1995,"2CHIP, function: R, on date: 2015-11-19",committed-1_745_13650_All
92,cs_resurf,2015,4750,"COMB, function: 2, on date: 2015-11-19",committed-1_745_13860_All
172,cs_resurf,2015,2288,"B/S, function: R, on date: 2015-12-14",committed-1_749_1980_All
183,cs_resurf,2015,10560,"B/S, function: R, on date: 2015-11-18",committed-1_749_5680_All
191,cs_resurf,2015,1654.4,"RACK, function: R, on date: 2015-12-14",committed-1_749_10312_All
213,cs_resurf,2015,2408,"2CHIP, function: 2, on date: 2015-12-11",committed-1_750_4800_All
227,cs_rehab,2015,1935,"2CHIP, function: 1, on date: 2015-11-13",committed-1_751_555_All
228,cs_rehab,2015,2610,"2CHIP, function: 1, on date: 2015-11-13",committed-1_751_770_All
232,cs_rehab,2015,1732.5,"2CHIP, function: 1, on date: 2015-11-20",committed-1_752_1390_All
238,cs_resurf,2015,2860,"COMB, function: R, on date: 2015-02-25",committed-1_752_7360_All
239,cs_resurf,2015,7280,"2CHIP, function: 2, on date: 2015-11-13",committed-1_752_7580_All
240,cs_resurf,2015,2080,"2CHIP, function: R, on date: 2015-11-13",committed-1_752_8140_All
241,cs_resurf,2015,1950,"2CHIP, function: 2, on date: 2015-11-13",committed-1_752_8300_All
243,cs_resurf,2015,3380,"2CHIP, function: 2, on date: 2015-11-14",committed-1_752_8550_All
245,cs_resurf,2015,4160,"2CHIP, function: 2, on date: 2015-11-14",committed-1_752_9180_All
