"inp_seg_code","inp_section_id","inp_section_name","inp_loc_from","inp_loc_to","inp_lane","inp_length","inp_area_m2","inp_urban_rural","inp_onrc","inp_adt","inp_heavy_perc","inp_traff_growth_perc","inp_surf_class","inp_surf_date","inp_surf_function","inp_surf_material","inp_surf_life_expected","inp_surf_layers","inp_surf_thick","inp_pave_date","inp_hsd_survey_date","inp_rut_mean","inp_iri_mean","inp_text_mean","inp_maint_pa_ext","inp_maint_poth_ext","inp_rut_rate","inp_iri_rate","inp_text_rate","inp_rainfall"
"3_1769_13467_L1",1769,"01N_0431/11.16-I",13467,15481,"L1",2014,8727.33333333333,"R","High Volume",55187,6,2,"ogpa",20000608,"R","OGPA",6,2,55,19661225,20141130,1.72549019607843,1.0928431372549,1.22970443349754,0,0,-0.338094705992619,0.0153694525837286,0.0906430291856768,1210.7
"3_1769_13467_L2",1769,"01N_0431/11.16-I",13467,15481,"L2",2014,8727.33333333333,"R","High Volume",55187,6,2,"ogpa",20000608,"R","OGPA",6,2,55,19661225,20141130,2.45098039215686,1.01098039215686,1.20211822660098,0,0,-0.260002702946723,0.0185536399327266,0.0825417627412658,1210.7
"3_1769_13467_L3",1769,"01N_0431/11.16-I",13467,15481,"L3",2014,8727.33333333333,"R","High Volume",55187,6,2,"ogpa",20000608,"R","OGPA",6,2,55,19661225,20141130,2.25490196078431,0.970588235294118,1.22197044334975,0,0,-0.218512874521224,0.00739143182696054,0.0436859618386544,1210.7
"3_1769_15481_L1",1769,"01N_0431/11.16-I",15481,16083,"L1",602,2608.66666666667,"R","High Volume",46216,6,2,"ogpa",20011231,"R","OGPA",6,1,35,19951002,20141130,3.29032258064516,1.58064516129032,1.46540983606557,0,0,0.292517848966841,0.0788952316317313,0.0851409112325776,1210.7
"3_1769_15481_L2",1769,"01N_0431/11.16-I",15481,16083,"L2",602,2608.66666666667,"R","High Volume",46216,6,2,"ogpa",20011231,"R","OGPA",6,1,35,19951002,20141130,4.87096774193548,1.70032258064516,1.3472131147541,0,0,0.727516117446411,0.150715273591474,0.0726772674067773,1210.7
"3_1769_15481_L3",1769,"01N_0431/11.16-I",15481,16083,"L3",602,2608.66666666667,"R","High Volume",46216,6,2,"ogpa",20011231,"R","OGPA",6,1,35,19951002,20141130,1.2258064516129,1.52935483870968,1.43983606557377,0,0,-0.692755734394348,0.0109747128680486,0.031373457105644,1210.7
"3_1769_16083_L1",1769,"01N_0431/11.16-I",16083,16816,"L1",733,3176.33333333333,"R","High Volume",46216,6,2,"ogpa",20000608,"R","OGPA",6,2,55,19950812,20141130,2.44444444444444,1.36111111111111,1.53986301369863,0,0,-0.184915128128985,0.0277392299007211,0.0722375052290264,1210.7
"3_1769_16083_L2",1769,"01N_0431/11.16-I",16083,16816,"L2",733,3176.33333333333,"R","High Volume",46216,6,2,"ogpa",20000608,"R","OGPA",6,2,55,19950812,20141130,2.22222222222222,1.57888888888889,1.45657534246575,0,0,-0.26198329967203,0.00342690333327474,0.0770254758148347,1210.7
"3_1769_16083_L3",1769,"01N_0431/11.16-I",16083,16816,"L3",733,3176.33333333333,"R","High Volume",46216,6,2,"ogpa",20000608,"R","OGPA",6,2,55,19950812,20141130,3.75,2.07805555555556,1.5058904109589,0,0,-0.0382420304989633,0.0165232092341739,0.0415797426661169,1210.7
"3_1771_3705_L1",1771,"22_0000/03.71",3705,3950,"L1",245,1678.25,"R","Regional",18276,6,2,"ogpa",20030415,"R","OGPA",7,1,25,19960313,20141205,3.83333333333333,1.8225,1.3025,0,1,-0.195229456891292,-0.0158529389394639,-0.0180541965097648,1210.7
"3_1771_3705_R1",1771,"22_0000/03.71",3705,3950,"R1",245,1678.25,"R","Regional",18276,6,2,"ogpa",20030415,"R","OGPA",7,1,25,19960313,20141205,3.91666666666667,1.7875,1.36666666666667,0,1,-0.219572635520973,0.00547054147429904,0.00621063344192931,1210.7
